name,category,description,latitude,longitude,image,age_group,mood,price_level,accessibility
Aghir,Plage,"Plage populaire pour se baigner et bronzer, offrant des eaux cristallines et un sable doré, idéale pour les familles et les amateurs de détente en bord de mer.",33.8336,10.9252,assets/images/aghir.jpg,Tous,Détente,Gratuit,Facile
Houmt Souk,Culture,"Centre historique de Djerba, réputé pour ses marchés animés, ses ruelles pittoresques et son architecture traditionnelle, parfait pour découvrir la culture locale et les saveurs authentiques.",33.875,10.8573,assets/images/houmet_soug.jpg,Tous,Culture,Gratuit,Facile
Guellala,Culture,"Village renommé pour ses potiers et son artisanat traditionnel, offrant un aperçu immersif de la vie rurale berbère, avec des ateliers de poterie et un riche patrimoine culturel.",33.6932,10.7802,assets/images/guallala.jpg,Famille,Culture,Payant,Moyen
Balade à cheval,Aventure,"Expérience unique de balade équestre au bord de la mer, avec des sentiers pittoresques et des paysages marins à couper le souffle, idéale pour se connecter à la nature.",33.813,10.91,assets/images/cheval.jpg,Famille,Détente,Payant,Facile
Djerbahood,Culture,"Quartier artistique emblématique de Djerba, connu pour ses fresques murales colorées et ses installations d'art urbain, inspirant la créativité des jeunes et des passionnés d'art contemporain.",33.8165,10.8653,assets/images/djerbahood.jpg,Jeunes,Inspiration,Gratuit,Facile
Balade en quad,Aventure,"Excursion en quad à travers les dunes et les campagnes de Djerba, offrant une dose d’adrénaline avec des panoramas spectaculaires, parfaite pour les amateurs de sensations fortes.",33.8,10.9,assets/images/quad.jpg,Jeunes,Adrénaline,Payant,Moyen
Djerba Explore Park,Culture,"Parc combinant une ferme aux crocodiles et le musée Lella Hadria, où vous découvrirez la biodiversité locale et des expositions historiques dans un cadre ludique pour toute la famille.",33.8107,10.997,assets/images/crocodile.jpg,Famille,Découverte,Payant,Facile
L'île des flamants roses,Aventure,"Île accessible par bateau, réputée pour sa population de flamants roses et ses paysages naturels préservés, idéale pour une journée d’observation, de détente et de photographie.",33.84,10.92,assets/images/flaments.jpg,Famille,Nature,Payant,Moyen
Coucher de soleil à Sidi Jmour,Plage,"Vue spectaculaire du coucher de soleil à Sidi Jmour, offrant un panorama romantique et apaisant, parfait pour les couples à la recherche d'une expérience inoubliable en bord de mer.",33.791,10.726,assets/images/coucher.jpg,Couple,Romantique,Gratuit,Facile
La Ghriba Synagogue,Culture,"Lieu emblématique de la communauté juive, cette synagogue historique est reconnue pour son riche patrimoine spirituel et architectural, symbole de tolérance et d'histoire millénaire.",33.8077,10.8566,assets/images/synagogue.jpg,Adulte,Spirituel,Payant,Moyenne
